player,Nation,Position,Team,Age,Weekly,Annual,expected_salary,salary_pct_diff
Kevin De Bruyne,BEL,"MF,FW",Manchester City,33,488501,25402046,24119208.001493618,5.318740144481273
Erling Haaland,NOR,FW,Manchester City,24,457970,23814418,13537882.263575943,75.90947783667293
Casemiro,BRA,MF,Manchester Utd,32,427438,22226790,15154950.940950755,46.66355626358491
Mohamed Salah,EGY,FW,Liverpool,32,427438,22226790,21782132.40987636,2.0413868658792347
Bruno Fernandes,POR,MF,Manchester Utd,29,366376,19051534,14475495.113976818,31.612313430335014
Marcus Rashford,ENG,"FW,MF",Manchester Utd,26,366376,19051534,,
Bernardo Silva,POR,"MF,FW",Manchester City,29,366376,19051534,16536033.348846061,15.212237409580931
Jack Grealish,ENG,"FW,MF",Manchester City,28,366376,19051534,,
Omar Marmoush,EGY,"FW,MF",Manchester City,25,396024,20593224,13173403.104493164,56.32425301686924
Kai Havertz,GER,"FW,MF",Arsenal,25,341951,17781432,14176171.943039991,25.431830761124942
Gabriel Jesus,BRA,FW,Arsenal,27,323632,16828855,,
Mason Mount,ENG,MF,Manchester Utd,25,305313,15876279,,
John Stones,ENG,"DF,MF",Manchester City,30,305313,15876279,,
Reece James,ENG,"DF,MF",Chelsea,24,305313,15876279,,
Declan Rice,ENG,MF,Arsenal,25,293101,15241227,8395533.107478982,81.5397164764043
Martin Ødegaard,NOR,MF,Arsenal,25,293101,15241227,,
İlkay Gündoğan,GER,MF,Manchester City,33,280888,14606176,,
Phil Foden,ENG,"MF,FW",Manchester City,24,274782,14288651,11955539.2434827,19.514901912844675
Virgil van Dijk,NED,DF,Liverpool,33,268675,13971125,15409354.40060105,-9.333482527632372
Rodri,ESP,MF,Manchester City,28,268675,13971125,,
Thomas Partey,GHA,"MF,DF",Arsenal,31,244250,12701023,10830762.432692796,17.268041644619572
Antony,BRA,"DF,MF",Manchester Utd,24,244250,12701023,,
Joško Gvardiol,CRO,DF,Manchester City,22,244250,12701023,,
Wesley Fofana,FRA,DF,Chelsea,23,244250,12701023,6189748.917124202,105.19447832305578
Bukayo Saka,ENG,"FW,MF",Arsenal,22,238144,12383497,8322416.488758655,48.79689110400533
Matthijs de Ligt,NED,DF,Manchester Utd,24,238144,12383497,5847119.993775209,111.78797447603878
Christopher Nkunku,FRA,FW,Chelsea,26,238144,12383497,,
William Saliba,FRA,DF,Arsenal,23,232038,12065972,7982807.745671919,51.14947502702759
